month,drawing_count,product_category,company_name
2024-02,1,1,0
2024-03,2,2,2
2024-06,2,2,0
2024-07,3,2,0
2024-08,38,2,0
2024-09,12,2,0
2024-10,15,2,1
2024-11,18,2,0
2024-12,12,2,0
2025-01,16,2,1
2025-02,11,2,1
2025-03,26,2,1
2025-04,52,1,0
2025-05,10,3,0
2025-06,13,2,0
2025-07,22,1,0
2025-08,82,1,0
2025-09,33,2,0
2025-10,40,1,0
